SubPopulation,Parameter Name,id,Lower Limit,UpperLimit,CurretValue,Code,IncludeIninitialParam
person_TCSwithCar,MarginalUtilityofTravelCar,person_TCSwithCar MarginalUtilityofTravelCar,-240,-160,-200,1,TRUE
person_TCSwithCar,MarginalUtilityofDistanceCar,person_TCSwithCar MarginalUtilityofDistanceCar,-0.009,-0.006,-0.0075,2,TRUE
person_TCSwithCar,MarginalUtilityofMoney,person_TCSwithCar MarginalUtilityofMoney,0.8,1.2,1,3,FALSE
person_TCSwithCar,DistanceBasedMoneyCostCar,person_TCSwithCar DistanceBasedMoneyCostCar,0,0,0,4,FALSE
person_TCSwithCar,MarginalUtilityofTravelpt,person_TCSwithCar MarginalUtilityofTravelpt,-240,-160,-200,5,TRUE
person_TCSwithCar,MarginalUtilityOfDistancePt,person_TCSwithCar MarginalUtilityOfDistancePt,-0.00012,-0.00008,-0.0001,6,TRUE
person_TCSwithCar,MarginalUtilityofWaiting,person_TCSwithCar MarginalUtilityofWaiting,-7.2,-4.8,-6,7,TRUE
person_TCSwithCar,UtilityOfLineSwitch,person_TCSwithCar UtilityOfLineSwitch,-6,-4,-5,8,TRUE
person_TCSwithCar,MarginalUtilityOfWalking,person_TCSwithCar MarginalUtilityOfWalking,-240,-160,-200,9,TRUE
person_TCSwithCar,DistanceBasedMoneyCostWalk,person_TCSwithCar DistanceBasedMoneyCostWalk,-0.006,-0.004,-0.005,10,TRUE
person_TCSwithCar,ModeConstantPt,person_TCSwithCar ModeConstantPt,0,0,0,11,FALSE
person_TCSwithCar,ModeConstantCar,person_TCSwithCar ModeConstantCar,0,0,0,12,FALSE
person_TCSwithCar,MarginalUtilityofPerform,person_TCSwithCar MarginalUtilityofPerform,80,120,100,13,TRUE
person_TCSwithoutCar,MarginalUtilityofTravelCar,person_TCSwithoutCar MarginalUtilityofTravelCar,-240,-160,-200,14,TRUE
person_TCSwithoutCar,MarginalUtilityofDistanceCar,person_TCSwithoutCar MarginalUtilityofDistanceCar,-0.009,-0.006,-0.0075,15,TRUE
person_TCSwithoutCar,MarginalUtilityofMoney,person_TCSwithoutCar MarginalUtilityofMoney,0.8,1.2,1,3,FALSE
person_TCSwithoutCar,DistanceBasedMoneyCostCar,person_TCSwithoutCar DistanceBasedMoneyCostCar,0,0,0,4,FALSE
person_TCSwithoutCar,MarginalUtilityofTravelpt,person_TCSwithoutCar MarginalUtilityofTravelpt,-72,-48,-60,16,TRUE
person_TCSwithoutCar,MarginalUtilityOfDistancePt,person_TCSwithoutCar MarginalUtilityOfDistancePt,-0.00012,-0.00008,-0.0001,17,TRUE
person_TCSwithoutCar,MarginalUtilityofWaiting,person_TCSwithoutCar MarginalUtilityofWaiting,-7.2,-4.8,-6,18,TRUE
person_TCSwithoutCar,UtilityOfLineSwitch,person_TCSwithoutCar UtilityOfLineSwitch,-6,-4,-5,8,TRUE
person_TCSwithoutCar,MarginalUtilityOfWalking,person_TCSwithoutCar MarginalUtilityOfWalking,-84,-56,-70,19,TRUE
person_TCSwithoutCar,DistanceBasedMoneyCostWalk,person_TCSwithoutCar DistanceBasedMoneyCostWalk,-0.006,-0.004,-0.005,20,TRUE
person_TCSwithoutCar,ModeConstantPt,person_TCSwithoutCar ModeConstantPt,0,0,0,21,FALSE
person_TCSwithoutCar,ModeConstantCar,person_TCSwithoutCar ModeConstantCar,0,0,0,22,FALSE
person_TCSwithoutCar,MarginalUtilityofPerform,person_TCSwithoutCar MarginalUtilityofPerform,80,120,100,13,TRUE
trip_TCS,MarginalUtilityofTravelCar,trip_TCS MarginalUtilityofTravelCar,-240,-160,-200,1,TRUE
trip_TCS,MarginalUtilityofDistanceCar,trip_TCS MarginalUtilityofDistanceCar,-0.009,-0.006,-0.0075,2,TRUE
trip_TCS,MarginalUtilityofMoney,trip_TCS MarginalUtilityofMoney,0.8,1.2,1,3,FALSE
trip_TCS,DistanceBasedMoneyCostCar,trip_TCS DistanceBasedMoneyCostCar,0,0,0,4,FALSE
trip_TCS,MarginalUtilityofTravelpt,trip_TCS MarginalUtilityofTravelpt,-240,-160,-200,5,TRUE
trip_TCS,MarginalUtilityOfDistancePt,trip_TCS MarginalUtilityOfDistancePt,-0.00012,-0.00008,-0.0001,6,TRUE
trip_TCS,MarginalUtilityofWaiting,trip_TCS MarginalUtilityofWaiting,-7.2,-4.8,-6,7,TRUE
trip_TCS,UtilityOfLineSwitch,trip_TCS UtilityOfLineSwitch,-6,-4,-5,8,TRUE
trip_TCS,MarginalUtilityOfWalking,trip_TCS MarginalUtilityOfWalking,-240,-160,-200,9,TRUE
trip_TCS,DistanceBasedMoneyCostWalk,trip_TCS DistanceBasedMoneyCostWalk,-0.006,-0.004,-0.005,10,TRUE
trip_TCS,ModeConstantPt,trip_TCS ModeConstantPt,0,0,0,11,FALSE
trip_TCS,ModeConstantCar,trip_TCS ModeConstantCar,0,0,0,12,FALSE
trip_TCS,MarginalUtilityofPerform,trip_TCS MarginalUtilityofPerform,80,120,100,13,TRUE
person_GV,MarginalUtilityofTravelCar,person_GV MarginalUtilityofTravelCar,-240,-160,-200,23,TRUE
person_GV,MarginalUtilityofDistanceCar,person_GV MarginalUtilityofDistanceCar,-0.009,-0.006,-0.0075,24,TRUE
person_GV,MarginalUtilityofMoney,person_GV MarginalUtilityofMoney,0.8,1.2,1,3,FALSE
person_GV,DistanceBasedMoneyCostCar,person_GV DistanceBasedMoneyCostCar,0,0,0,25,FALSE
person_GV,MarginalUtilityOfWalking,person_GV MarginalUtilityOfWalking,-240,-160,-200,26,TRUE
person_GV,DistanceBasedMoneyCostWalk,person_GV DistanceBasedMoneyCostWalk,-0.006,-0.004,-0.005,27,TRUE
person_GV,MarginalUtilityofPerform,person_GV MarginalUtilityofPerform,80,120,100,13,TRUE
trip_GV,MarginalUtilityofTravelCar,trip_GV MarginalUtilityofTravelCar,-240,-160,-200,23,TRUE
trip_GV,MarginalUtilityofDistanceCar,trip_GV MarginalUtilityofDistanceCar,-0.009,-0.006,-0.0075,24,TRUE
trip_GV,MarginalUtilityofMoney,trip_GV MarginalUtilityofMoney,0.8,1.2,1,3,FALSE
trip_GV,DistanceBasedMoneyCostCar,trip_GV DistanceBasedMoneyCostCar,0,0,0,25,FALSE
trip_GV,MarginalUtilityOfWalking,trip_GV MarginalUtilityOfWalking,-240,-160,-200,26,TRUE
trip_GV,DistanceBasedMoneyCostWalk,trip_GV DistanceBasedMoneyCostWalk,-0.006,-0.004,-0.005,27,TRUE
trip_GV,MarginalUtilityofPerform,trip_GV MarginalUtilityofPerform,80,120,100,13,TRUE
